Date,Title,Quantity Sold,Total Revenue
2025-04-09,Brave New World,5,67.5
2025-03-09,Animal Farm,2,19.98
2025-05-10,Animal Farm,3,29.97
2025-05-02,Brave New World,5,67.5
2025-03-12,1984,5,69.95
2025-02-18,Brave New World,4,54.0
2025-03-18,Lord of the Flies,2,21.98
2025-04-21,The Catcher in the Rye,1,12.5
2025-05-03,Fahrenheit 451,5,63.75
2025-05-16,The Great Gatsby,3,38.97
2025-04-16,Fahrenheit 451,4,51.0
2025-04-17,1984,4,55.96
2025-04-12,Pride and Prejudice,1,11.99
2025-02-19,The Catcher in the Rye,3,37.5
2025-02-23,The Catcher in the Rye,1,12.5
2025-03-27,To Kill a Mockingbird,4,58.0
2025-05-16,To Kill a Mockingbird,2,29.0
2025-02-25,Fahrenheit 451,5,63.75
2025-02-18,Pride and Prejudice,4,47.96
2025-04-17,Animal Farm,4,39.96
2025-02-24,1984,1,13.99
2025-03-24,To Kill a Mockingbird,4,58.0
2025-02-18,Lord of the Flies,2,21.98
2025-02-20,Lord of the Flies,5,54.95
2025-04-20,To Kill a Mockingbird,2,29.0
2025-04-01,To Kill a Mockingbird,2,29.0
2025-04-19,Pride and Prejudice,4,47.96
2025-04-19,Brave New World,5,67.5
2025-05-07,To Kill a Mockingbird,5,72.5
2025-03-12,Fahrenheit 451,1,12.75
2025-04-17,The Hobbit,5,79.95
2025-03-03,The Great Gatsby,1,12.99
2025-04-28,The Hobbit,1,15.99
2025-02-24,Brave New World,3,40.5
2025-05-08,Brave New World,3,40.5
2025-03-23,The Great Gatsby,3,38.97
2025-02-21,Fahrenheit 451,2,25.5
2025-03-29,Animal Farm,1,9.99
2025-04-29,To Kill a Mockingbird,1,14.5
2025-04-05,Animal Farm,5,49.95
2025-04-01,Brave New World,3,40.5
2025-03-23,The Great Gatsby,3,38.97
2025-04-04,1984,1,13.99
2025-02-21,Fahrenheit 451,3,38.25
2025-02-25,Fahrenheit 451,2,25.5
2025-05-04,1984,1,13.99
2025-04-09,Pride and Prejudice,5,59.95
2025-03-11,Animal Farm,5,49.95
2025-03-03,Pride and Prejudice,5,59.95
2025-03-20,Animal Farm,3,29.97
2025-05-13,To Kill a Mockingbird,2,29.0
2025-04-02,The Hobbit,5,79.95
2025-02-22,Pride and Prejudice,3,35.97
2025-05-16,Animal Farm,1,9.99
2025-02-17,The Hobbit,3,47.97
2025-04-19,The Hobbit,4,63.96
2025-05-04,The Hobbit,3,47.97
2025-04-27,Brave New World,3,40.5
2025-02-25,The Catcher in the Rye,1,12.5
2025-04-08,Fahrenheit 451,4,51.0
2025-03-12,Lord of the Flies,1,10.99
2025-04-09,The Great Gatsby,1,12.99
2025-04-15,Pride and Prejudice,4,47.96
2025-03-27,To Kill a Mockingbird,3,43.5
2025-04-13,The Great Gatsby,3,38.97
2025-02-18,To Kill a Mockingbird,4,58.0
2025-04-11,Animal Farm,5,49.95
2025-02-17,1984,2,27.98
2025-04-10,Fahrenheit 451,4,51.0
2025-04-12,Brave New World,3,40.5
2025-03-05,Lord of the Flies,5,54.95
2025-04-27,Lord of the Flies,3,32.97
2025-03-04,The Great Gatsby,1,12.99
2025-04-16,Lord of the Flies,5,54.95
2025-02-19,Pride and Prejudice,4,47.96
2025-04-16,Pride and Prejudice,3,35.97
2025-05-17,1984,3,41.97
2025-03-08,Animal Farm,4,39.96
2025-03-21,Brave New World,2,27.0
2025-02-17,The Hobbit,1,15.99
2025-04-07,Animal Farm,2,19.98
2025-02-23,Fahrenheit 451,1,12.75
2025-04-17,The Great Gatsby,2,25.98
2025-02-17,The Catcher in the Rye,5,62.5
2025-03-20,Animal Farm,1,9.99
2025-03-07,1984,4,55.96
2025-03-12,Lord of the Flies,1,10.99
2025-03-12,Pride and Prejudice,3,35.97
2025-04-29,Pride and Prejudice,4,47.96
2025-05-16,1984,1,13.99
2025-03-06,To Kill a Mockingbird,2,29.0
2025-04-11,1984,5,69.95
2025-03-29,Pride and Prejudice,1,11.99
2025-04-25,The Great Gatsby,5,64.95
2025-04-05,Pride and Prejudice,3,35.97
2025-03-05,The Great Gatsby,4,51.96
2025-04-16,1984,5,69.95
2025-04-08,Lord of the Flies,3,32.97
2025-03-15,To Kill a Mockingbird,5,72.5
2025-03-18,The Great Gatsby,4,51.96
2025-04-21,The Great Gatsby,5,64.95
2025-04-18,1984,4,55.96
2025-03-23,The Great Gatsby,1,12.99
2025-04-01,The Catcher in the Rye,3,37.5
2025-03-25,Brave New World,5,67.5
2025-04-03,The Catcher in the Rye,3,37.5
2025-04-17,The Great Gatsby,4,51.96
2025-04-20,The Catcher in the Rye,1,12.5
2025-04-24,To Kill a Mockingbird,1,14.5
2025-04-11,Fahrenheit 451,3,38.25
2025-04-03,Brave New World,2,27.0
2025-03-20,Lord of the Flies,2,21.98
2025-03-15,Fahrenheit 451,2,25.5
2025-05-17,The Great Gatsby,1,12.99
2025-02-25,Lord of the Flies,5,54.95
2025-03-30,Animal Farm,2,19.98
2025-04-07,The Hobbit,5,79.95
2025-04-17,Fahrenheit 451,1,12.75
2025-03-24,Pride and Prejudice,1,11.99
2025-02-24,1984,4,55.96
2025-04-23,Animal Farm,3,29.97
2025-03-13,Fahrenheit 451,5,63.75
2025-03-10,Fahrenheit 451,2,25.5
2025-05-13,The Great Gatsby,4,51.96
2025-03-30,Lord of the Flies,3,32.97
2025-04-17,The Catcher in the Rye,1,12.5
2025-02-24,The Catcher in the Rye,4,50.0
2025-02-21,Animal Farm,4,39.96
2025-02-22,Pride and Prejudice,3,35.97
2025-04-12,Brave New World,4,54.0
2025-03-04,To Kill a Mockingbird,4,58.0
2025-03-18,1984,1,13.99
2025-04-20,1984,4,55.96
2025-04-15,Animal Farm,2,19.98
2025-05-17,The Catcher in the Rye,1,12.5
2025-02-28,The Catcher in the Rye,1,12.5
2025-04-15,Fahrenheit 451,1,12.75
2025-03-22,Lord of the Flies,1,10.99
2025-02-17,Animal Farm,5,49.95
2025-03-10,Animal Farm,3,29.97
2025-05-03,Fahrenheit 451,3,38.25
2025-05-13,The Hobbit,5,79.95
2025-05-05,The Catcher in the Rye,1,12.5
2025-04-19,Pride and Prejudice,5,59.95
2025-05-03,Fahrenheit 451,2,25.5
2025-04-05,The Catcher in the Rye,4,50.0
2025-03-21,The Catcher in the Rye,2,25.0
2025-02-26,Lord of the Flies,5,54.95
2025-03-22,Pride and Prejudice,2,23.98
2025-03-07,Fahrenheit 451,1,12.75
2025-05-18,1984,5,69.95
